dim	coefficient
0	0.04869956
1	0.0075792
2	0.0019539297
3	-0.015280098
4	0.034677498
5	0.033667948
6	0.027854389
7	0.05365525
8	-0.025786625
9	0.034553
10	-0.021569246
11	-0.014201522
12	-0.039826073
13	0.036684245
14	0.064791754
15	0.017970283
16	-0.04173561
17	0.038300224
18	-0.03382465
19	0.017241526
20	-0.043014243
21	0.08514999
22	0.02674263
23	-0.0070051104
24	-0.03117561
25	0.016655564
26	0.090052694
27	-0.031539783
28	-0.0658029
29	-0.0031741858
30	0.102939285
31	0.022269946
32	-0.046588726
33	-0.13557811
34	-0.09612566
35	0.007894824
36	-0.053992927
37	0.047133163
38	0.012178709
39	0.00951401
40	-0.015760105
41	-0.017412512
42	0.02132682
43	-0.09218171
44	-0.02919699
45	-0.0701316
46	0.020422464
47	0.0457767
48	0.06438731
49	-0.10257193
50	0.0071592424
51	-0.042786486
52	-0.034955047
53	-0.05371721
54	-0.027621496
55	-0.048476096
56	-0.020678824
57	0.009268317
58	-0.017728234
59	-0.014842071
60	-0.00459144
61	0.02979913
62	-0.007140387
63	0.047620103
64	-0.07753447
65	-0.062158618
66	-0.09237985
67	-0.022169847
68	0.012428969
69	-0.0317254
70	-0.0032999692
71	-0.079796515
72	0.08293839
73	-0.0029623508
74	0.111271605
75	-0.03862892
76	-0.07014485
77	0.015448485
78	0.045339763
79	-0.031989533
80	-0.045723177
81	-0.12219909
82	-0.0761954
83	-0.07608533
84	0.042607643
85	0.029000599
86	-0.054980922
87	0.029826155
88	0.027473202
89	0.008664395
90	0.012547377
91	0.06625981
92	-0.005783042
93	0.062346637
94	0.0016145618
95	0.017527498
96	-0.11672115
97	0.022705255
98	-0.028192647
99	-0.0678679
100	0.022153355
101	-0.005807843
102	-0.01181006
103	-0.11482452
104	-0.064285845
105	0.06749064
106	-0.041192755
107	-0.023323754
108	-0.094416596
109	-0.011093077
110	0.03159027
111	-0.045234006
112	-0.016712626
113	0.07624116
114	-0.022469152
115	-0.0077481056
116	-0.066353805
117	0.016319979
118	0.008776881
119	-0.013572217
120	-0.0321972
121	-0.058825817
122	-0.016641753
123	0.027293406
124	0.049892403
125	-0.0010810429
126	-0.02146525
127	-0.04229995
128	0.0114468895
129	0.039733227
130	0.0006467961
131	-0.07595214
132	0.02255566
133	-0.08525473
134	0.08013781
135	0.018905263
136	0.0055317134
137	0.031269472
138	-0.020780269
139	0.008266531
140	0.013603542
141	0.013462583
142	-0.0038575102
143	0.0020326423
144	-0.0006197095
145	0.03127512
146	-0.03454153
147	0.06268327
148	0.033818573
149	-0.0058749723
150	0.0054201796
151	-0.04133337
152	-0.023339575
153	-0.04803062
154	0.004086729
155	-0.039372727
156	0.0071081277
157	-0.04985742
158	0.01751792
159	-0.056742128
160	0.042750064
161	-0.016100802
162	0.022481676
163	0.051592708
164	0.0008185574
165	0.01700332
166	-0.020130523
167	0.1323685
168	0.064710245
169	0.08278637
170	0.027304798
171	-0.006770136
172	0.012962474
173	0.040821932
174	0.024170216
175	-0.0017567691
176	-0.05781974
177	-0.081451654
178	-0.028021045
179	0.021002803
180	-0.022250338
181	-0.015068987
182	0.064283445
183	-0.056733772
184	-0.008375383
185	0.0006541014
186	0.028752983
187	0.062356006
188	0.04743687
189	-0.019574359
190	-0.00959162
191	0.06598556
192	-0.0027192915
193	-0.04818788
194	0.040572822
195	-0.05887567
196	0.079451405
197	-0.0123011125
198	-0.03985921
199	0.056871384
200	-0.061445996
201	0.011702528
202	0.010665765
203	0.035085272
204	0.026025532
205	-0.03780923
206	0.014512489
207	-0.029917913
208	0.00072587887
209	-0.06891584
210	-0.026167316
