recipe_slug	score_bound
almond-chip-cookies	2.240738974439037
almond-croissants	2.071591512492828
apple-crisp	2.601425107994285
apple-crumble	2.6163839383088336
apple-pie	2.273678951095751
asparagus-burger	1.8710021586721042
asparagus-quiche	1.8390418732961236
bacon-and-egg-breakfast-sandwich	2.7118074371977396
bacon-chocolate-chip-cookies	2.710670649361705
bacon-egg-muffins	2.7163129501056087
bacon-fried-rice	2.855340216289845
bacon-mac-and-cheese	2.7878600083238063
bacon-souffle	2.4369238608149666
bacon-wrapped-asparagus	2.763668186576719
bacon-wrapped-chicken	2.829196527589936
bacon-wrapped-dates	2.726076056483473
bacon-wrapped-scallops	2.772102230076621
bacon-wrapped-shrimp-skewers	2.7877388588008816
berry-crisp	2.4775102141481886
berry-crumble	2.2443875124226933
blueberry-crisp	2.377832848975569
blueberry-crumble	2.334970805025896
bolognese-sauce	2.1652020030443726
breakfast-burritos	2.3980571343575363
brioche-bread	2.342314713684799
brioche-bread-with-chocolate	2.256082371160089
brownies	2.68487154819691
burritos	2.2450649331128107
butter-croissants	1.93759340786969
cherry-cobbler	2.3910550116654097
cherry-pie	2.334785953805632
chicken-alfredo-lasagna	2.2925803352817846
chicken-fingers	2.515967376628659
chicken-nuggets	2.551366614822933
chiles-rellenos	2.1813412627130684
chocolate-babka	2.6914114277724215
chocolate-cake	2.53629304117101
chocolate-croissants	2.4918213995073497
chocolate-peanut-butter-cake	2.5675940392813543
chocolate-souffle	2.3721880937928566
cinnamon-babka	2.143989373492882
classic-beef-lasagna	2.2400332598306205
cold-noodles-with-tomatoes	2.2283448343271925
cold-sesame-noodles	2.3089857727792213
cold-soba-noodles-with-tomato-and-cucumber	2.2055436095952525
cranberry-apple-crisp	2.565766298702571
cranberry-relish	2.2193259122605067
cranberry-sauce	2.1397206580355084
croissant-aux-amandes	2.214048384736194
croissants	2.305142755415465
dan-dan-noodles	2.285764141110659
danishes	2.353031956316382
enchiladas	2.152792213663734
fajitas	2.350574818250248
falafel	1.844454426845492
french-toast	2.3766851249026804
fried-oysters	2.448718890416995
guacamole	2.3876768361777314
lasagna	2.172952320328708
loaded-nachos	2.3794153895994294
ma-la-beef	2.369682274791402
ma-la-chicken	2.24905459323761
maple-bacon-donuts	2.742988052297488
maple-bacon-pancakes	2.6902545465712544
mushroom-quiche	2.3612817064895157
nacho-casserole	2.385974196974984
nacho-dip	2.3521918512897257
nacho-fries	2.496227648627851
nacho-salad	2.5039704091898676
nachos	2.4042453451372525
pain-au-chocolat	2.780581440456415
pasta-primavera	2.165774540841252
peach-cobbler	2.4589602696958566
peach-crisp	2.4841594179294733
peanut-butter-brownies	2.475022301762728
peanut-butter-cupcakes	2.271794720951489
pickled-asparagus	1.8403734236564344
pickled-green-beans	1.869313896000815
pico-de-gallo	2.073805007401883
quesadillas	2.464140923662667
quiche-lorraine	2.206859203552256
ramen	2.4612745498332114
soba-noodle-salad-with-peanut-dressing	2.2007820923950567
souffle	2.13678559705764
spam-musubi	2.3523635474707567
spamburger	2.3170941436464405
spinach-and-feta-quiche	1.8103727063963178
spinach-and-ricotta-lasagna	1.7232892609612676
spinach-and-ricotta-stuffed-shells	1.6589524911640623
spinach-quiche	1.7804454350845156
strawberry-rhubarb-crisp	2.6159734809312782
sujebi	2.3210794580785414
taco-salad	2.319800930616814
tacos	2.197804532063397
tamales	2.216054922246746
tempura-udon	2.2742175107209794
udon	2.1831958287444624
vanilla-souffle	2.3194920724409798
vegetable-lasagna	1.5311302044265909
vegetarian-mushroom-lasagna	1.6943760558176153
