curr_state	curr_action	next_reward	next_state
1095	-1	0	1214
1214	1	0	1207
1207	0	0	1327
1327	0	0	1447
1447	1	0	1560
1560	1	0	1689
1689	-1	0	1824
1824	1	0	1953
1953	0	0	1961
1961	0	0	1969
1969	-1	0	1976
1976	1	0	1977
1977	1	0	1986
1986	0	0	1994
1994	1	0	2003
2003	1	0	1884
1884	1	0	1757
1757	-1	0	1620
1620	1	0	1493
1493	1	0	1358
1358	1	0	1351
1351	0	0	1471
1471	1	0	1584
1584	-1	0	1719
1719	0	0	1839
1839	0	0	1959
1959	-1	0	1950
1950	0	0	1942
1942	-1	0	1933
1933	-1	0	1796
1796	1	0	1669
1669	1	0	1542
