state	action
0	-1
1	0
2	0
3	-1
4	0
5	0
6	0
7	-1
8	1
9	1
10	-1
11	-1
12	1
13	0
14	-1
15	1
16	1
17	0
18	-1
19	0
20	-1
21	0
22	1
23	0
24	1
25	-1
26	0
27	-1
28	0
29	-1
30	0
31	-1
32	0
33	0
34	-1
35	-1
36	1
37	-1
38	0
39	1
40	1
41	-1
42	-1
43	1
44	1
45	1
46	0
47	1
48	0
49	1
50	1
51	-1
52	-1
53	0
54	1
55	1
56	-1
57	-1
58	0
59	1
60	1
61	1
62	0
63	0
64	0
65	-1
66	0
67	-1
68	0
69	0
70	0
71	1
72	1
73	-1
74	0
75	0
76	0
77	1
78	0
79	1
80	0
81	1
82	0
83	1
84	1
85	0
86	-1
87	1
88	1
89	1
90	0
91	0
92	1
93	1
94	1
95	1
96	0
97	0
98	-1
99	0
100	-1
101	-1
102	0
103	0
104	1
105	1
106	-1
107	1
108	1
109	-1
110	-1
111	1
112	0
113	0
114	-1
115	1
116	-1
117	0
118	-1
119	1
120	0
121	-1
122	-1
123	1
124	1
125	0
126	0
127	0
128	-1
129	-1
130	-1
131	-1
132	1
133	0
134	-1
135	0
136	1
137	-1
138	-1
139	-1
140	0
141	-1
142	1
143	-1
144	-1
145	-1
146	-1
147	-1
148	1
149	0
150	-1
151	0
152	-1
153	-1
154	-1
155	-1
156	1
157	1
158	0
159	0
160	-1
161	0
162	-1
163	0
164	-1
165	-1
166	-1
167	0
168	1
169	0
170	1
171	-1
172	1
173	-1
174	0
175	-1
176	-1
177	0
178	-1
179	-1
180	0
181	0
182	1
183	1
184	1
185	-1
186	0
187	-1
188	0
189	0
190	0
191	0
192	0
193	1
194	-1
195	1
196	0
197	1
198	-1
199	-1
200	0
201	-1
202	0
203	-1
204	0
205	0
206	1
207	1
208	0
209	0
210	1
211	0
212	1
213	1
214	0
215	-1
216	-1
217	1
218	0
219	-1
220	0
221	1
222	1
223	0
224	1
225	-1
226	1
227	-1
228	0
229	0
230	1
231	0
232	1
233	0
234	1
235	0
236	0
237	1
238	1
239	0
240	0
241	0
242	0
243	-1
244	0
245	-1
246	0
247	0
248	-1
249	1
250	0
251	-1
252	1
253	1
254	0
255	1
256	0
257	0
258	-1
259	-1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	-1
268	0
269	0
270	-1
271	1
272	0
273	-1
274	1
275	1
276	-1
277	1
278	1
279	1
280	0
281	1
282	0
283	-1
284	-1
285	1
286	0
287	1
288	0
289	0
290	1
291	-1
292	1
293	0
294	0
295	-1
296	0
297	1
298	-1
299	-1
300	-1
301	1
302	-1
303	-1
304	-1
305	-1
306	0
307	1
308	0
309	-1
310	0
311	1
312	0
313	-1
314	0
315	-1
316	0
317	-1
318	0
319	-1
320	1
321	1
322	1
323	1
324	-1
325	1
326	1
327	0
328	0
329	1
330	1
331	-1
332	-1
333	1
334	1
335	0
336	-1
337	0
338	-1
339	0
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	-1
350	0
351	1
352	-1
353	1
354	0
355	0
356	0
357	1
358	0
359	1
360	-1
361	1
362	-1
363	1
364	1
365	0
366	-1
367	1
368	0
369	1
370	1
371	1
372	-1
373	0
374	-1
375	1
376	0
377	1
378	0
379	-1
380	1
381	0
382	1
383	1
384	0
385	1
386	1
387	0
388	-1
389	-1
390	-1
391	-1
392	1
393	0
394	0
395	1
396	-1
397	1
398	1
399	-1
400	-1
401	0
402	1
403	0
404	0
405	0
406	1
407	-1
408	1
409	0
410	1
411	0
412	1
413	1
414	0
415	-1
416	0
417	1
418	-1
419	-1
420	-1
421	0
422	1
423	1
424	0
425	1
426	0
427	1
428	1
429	0
430	-1
431	-1
432	0
433	0
434	-1
435	0
436	0
437	0
438	1
439	1
440	-1
441	1
442	1
443	-1
444	0
445	1
446	1
447	1
448	-1
449	-1
450	0
451	0
452	0
453	-1
454	-1
455	1
456	1
457	1
458	-1
459	1
460	1
461	-1
462	0
463	-1
464	-1
465	1
466	1
467	0
468	0
469	-1
470	1
471	1
472	0
473	0
474	-1
475	-1
476	1
477	0
478	1
479	-1
480	0
481	0
482	-1
483	-1
484	-1
485	1
486	-1
487	-1
488	-1
489	-1
490	-1
491	0
492	-1
493	-1
494	-1
495	1
496	1
497	-1
498	-1
499	-1
500	-1
501	-1
502	-1
503	-1
504	1
505	-1
506	1
507	-1
508	1
509	0
510	1
511	-1
512	0
513	1
514	-1
515	-1
516	-1
517	1
518	0
519	0
520	0
521	0
522	0
523	-1
524	1
525	-1
526	1
527	0
528	-1
529	0
530	-1
531	1
532	0
533	-1
534	0
535	0
536	-1
537	-1
538	0
539	-1
540	1
541	-1
542	-1
543	0
544	1
545	0
546	1
547	0
548	1
549	-1
550	1
551	0
552	-1
553	-1
554	-1
555	1
556	-1
557	-1
558	-1
559	-1
560	0
561	-1
562	0
563	-1
564	0
565	-1
566	-1
567	-1
568	1
569	0
570	-1
571	0
572	-1
573	1
574	1
575	0
576	1
577	-1
578	0
579	1
580	0
581	-1
582	0
583	0
584	0
585	-1
586	-1
587	0
588	-1
589	1
590	0
591	-1
592	1
593	-1
594	1
595	-1
596	0
597	1
598	1
599	1
600	1
601	-1
602	1
603	-1
604	1
605	-1
606	-1
607	1
608	-1
609	-1
610	-1
611	0
612	0
613	-1
614	-1
615	-1
616	1
617	0
618	1
619	-1
620	0
621	-1
622	0
623	0
624	-1
625	1
626	-1
627	1
628	1
629	-1
630	-1
631	-1
632	0
633	0
634	0
635	1
636	1
637	-1
638	0
639	-1
640	-1
641	-1
642	1
643	0
644	1
645	-1
646	0
647	-1
648	-1
649	0
650	-1
651	-1
652	0
653	-1
654	0
655	1
656	1
657	-1
658	-1
659	0
660	1
661	0
662	0
663	-1
664	-1
665	1
666	-1
667	1
668	-1
669	0
670	-1
671	1
672	0
673	1
674	-1
675	0
676	0
677	0
678	0
679	-1
680	1
681	0
682	1
683	0
684	-1
685	0
686	0
687	-1
688	-1
689	-1
690	-1
691	0
692	1
693	0
694	-1
695	0
696	1
697	1
698	1
699	0
700	0
701	0
702	0
703	0
704	1
705	-1
706	-1
707	1
708	-1
709	1
710	1
711	-1
712	0
713	-1
714	1
715	0
716	-1
717	0
718	1
719	-1
720	1
721	1
722	1
723	-1
724	1
725	1
726	-1
727	-1
728	-1
729	0
730	-1
731	0
732	-1
733	1
734	-1
735	0
736	1
737	0
738	1
739	1
740	0
741	0
742	-1
743	0
744	0
745	-1
746	-1
747	0
748	0
749	0
750	1
751	1
752	0
753	-1
754	0
755	-1
756	-1
757	-1
758	1
759	-1
760	0
761	-1
762	0
763	-1
764	0
765	1
766	0
767	-1
768	0
769	0
770	0
771	1
772	0
773	-1
774	1
775	1
776	-1
777	1
778	-1
779	1
780	1
781	0
782	1
783	-1
784	0
785	1
786	0
787	1
788	0
789	1
790	-1
791	1
792	-1
793	1
794	-1
795	-1
796	-1
797	-1
798	-1
799	1
800	0
801	1
802	-1
803	0
804	0
805	0
806	1
807	1
808	0
809	1
810	-1
811	-1
812	-1
813	-1
814	0
815	0
816	1
817	0
818	1
819	1
820	1
821	0
822	0
823	1
824	1
825	-1
826	-1
827	-1
828	-1
829	1
830	1
831	1
832	0
833	1
834	1
835	-1
836	-1
837	1
838	0
839	1
840	-1
841	-1
842	-1
843	-1
844	-1
845	1
846	0
847	0
848	-1
849	-1
850	1
851	0
852	0
853	-1
854	-1
855	-1
856	1
857	1
858	-1
859	-1
860	-1
861	0
862	0
863	-1
864	0
865	0
866	0
867	1
868	0
869	0
870	1
871	-1
872	1
873	-1
874	0
875	0
876	0
877	-1
878	0
879	-1
880	0
881	1
882	-1
883	0
884	0
885	1
886	0
887	1
888	-1
889	0
890	-1
891	0
892	-1
893	1
894	1
895	0
896	0
897	-1
898	0
899	1
900	-1
901	-1
902	-1
903	1
904	1
905	1
906	0
907	0
908	1
909	0
910	1
911	1
912	0
913	1
914	0
915	0
916	-1
917	1
918	0
919	1
920	1
921	-1
922	-1
923	1
924	0
925	-1
926	1
927	1
928	1
929	0
930	1
931	-1
932	0
933	0
934	0
935	0
936	-1
937	0
938	0
939	-1
940	1
941	-1
942	0
943	0
944	-1
945	0
946	-1
947	0
948	1
949	-1
950	1
951	1
952	0
953	-1
954	-1
955	-1
956	0
957	1
958	-1
959	1
960	-1
961	0
962	1
963	0
964	1
965	1
966	0
967	0
968	-1
969	1
970	1
971	-1
972	0
973	0
974	-1
975	1
976	1
977	0
978	1
979	1
980	1
981	-1
982	1
983	0
984	1
985	-1
986	1
987	0
988	0
989	-1
990	1
991	1
992	0
993	-1
994	1
995	1
996	0
997	1
998	1
999	0
1000	1
1001	1
1002	-1
1003	-1
1004	0
1005	1
1006	-1
1007	0
1008	-1
1009	0
1010	0
1011	0
1012	-1
1013	1
1014	-1
1015	-1
1016	0
1017	1
1018	1
1019	1
1020	-1
1021	1
1022	0
1023	-1
1024	1
1025	0
1026	-1
1027	1
1028	-1
1029	0
1030	1
1031	-1
1032	-1
1033	0
1034	0
1035	0
1036	-1
1037	1
1038	1
1039	1
1040	0
1041	-1
1042	0
1043	0
1044	-1
1045	-1
1046	0
1047	1
1048	0
1049	0
1050	1
1051	0
1052	1
1053	0
1054	0
1055	1
1056	0
1057	1
1058	-1
1059	1
1060	0
1061	1
1062	-1
1063	-1
1064	-1
1065	0
1066	1
1067	-1
1068	-1
1069	0
1070	-1
1071	-1
1072	1
1073	1
1074	1
1075	1
1076	1
1077	1
1078	-1
1079	1
1080	0
1081	0
1082	0
1083	0
1084	1
1085	-1
1086	0
1087	1
1088	1
1089	1
1090	-1
1091	1
1092	0
1093	1
1094	1
1095	0
1096	-1
1097	1
1098	1
1099	0
1100	0
1101	0
1102	-1
1103	0
1104	0
1105	1
1106	-1
1107	-1
1108	0
1109	-1
1110	1
1111	0
1112	1
1113	-1
1114	0
1115	1
1116	0
1117	1
1118	1
1119	-1
1120	0
1121	-1
1122	1
1123	0
1124	0
1125	0
1126	-1
1127	1
1128	1
1129	0
1130	-1
1131	-1
1132	1
1133	-1
1134	0
1135	1
1136	-1
1137	1
1138	-1
1139	1
1140	1
1141	0
1142	-1
1143	0
1144	1
1145	1
1146	0
1147	-1
1148	1
1149	-1
1150	0
1151	1
1152	0
1153	1
