state	action
0	0
1	1
2	0
3	-1
4	-1
5	-1
6	-1
7	-1
8	-1
9	1
10	-1
11	0
12	-1
13	-1
14	-1
15	1
16	1
17	0
18	-1
19	-1
20	-1
21	0
22	-1
23	0
24	-1
25	1
26	-1
27	-1
28	-1
29	-1
30	-1
31	1
32	1
33	0
34	-1
35	-1
36	-1
37	-1
38	-1
39	1
40	-1
41	0
42	-1
43	1
44	1
45	0
46	-1
47	-1
48	0
49	-1
50	-1
51	-1
52	-1
53	0
54	0
55	-1
56	0
57	-1
58	-1
59	1
60	1
61	0
62	-1
63	1
64	-1
65	0
66	0
67	-1
68	-1
69	0
70	-1
71	1
72	-1
73	-1
74	-1
75	0
76	1
77	-1
78	1
79	0
80	-1
81	-1
82	1
83	1
84	-1
85	0
86	1
87	-1
88	1
89	0
90	1
91	1
92	1
93	1
94	0
95	1
96	-1
97	0
98	0
99	1
100	-1
101	0
102	1
103	0
104	1
105	1
106	0
107	1
108	1
109	1
110	1
111	-1
112	-1
113	0
114	1
115	1
116	1
117	1
118	1
119	0
120	0
121	1
122	1
123	1
124	1
125	0
126	-1
127	-1
128	-1
129	0
130	0
131	1
132	-1
133	-1
134	-1
135	-1
136	-1
137	-1
138	0
139	-1
140	1
141	-1
142	0
143	0
144	0
145	1
146	-1
147	1
148	-1
149	0
150	-1
151	-1
152	1
153	-1
154	-1
155	-1
156	1
157	-1
158	1
159	1
160	0
161	0
162	-1
163	0
164	-1
165	0
166	1
167	0
168	0
169	-1
170	-1
171	0
172	1
173	0
174	-1
175	1
176	0
177	-1
178	1
179	-1
180	0
181	-1
182	-1
183	-1
184	1
185	0
186	1
187	-1
188	0
189	0
190	0
191	1
192	0
193	1
194	1
195	1
196	1
197	1
198	-1
199	0
200	0
201	-1
202	0
203	0
204	0
205	1
206	-1
207	0
208	0
209	-1
210	0
211	1
212	0
213	0
214	-1
215	0
216	-1
217	1
218	1
219	0
220	0
221	1
222	1
223	1
224	1
225	0
226	-1
227	-1
228	-1
229	0
230	1
231	-1
232	-1
233	0
234	0
235	1
236	-1
237	1
238	0
239	0
240	0
241	1
242	0
243	1
244	1
245	1
246	-1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	-1
255	0
256	-1
257	0
258	1
259	0
260	0
261	-1
262	-1
263	0
264	-1
265	1
266	0
267	-1
268	1
269	0
270	-1
271	-1
272	1
273	-1
274	1
275	0
276	0
277	-1
278	1
279	1
280	0
281	0
282	0
283	-1
284	1
285	0
286	0
287	1
288	1
289	1
290	-1
291	-1
292	1
293	1
294	0
295	0
296	0
297	0
298	-1
299	1
300	1
301	0
302	-1
303	1
304	0
305	-1
306	0
307	1
308	0
309	1
310	-1
311	0
312	1
313	-1
314	-1
315	1
316	-1
317	-1
318	-1
319	0
320	-1
321	-1
322	0
323	0
324	1
325	0
326	1
327	1
328	-1
329	1
330	-1
331	0
332	1
333	0
334	0
335	1
336	-1
337	0
338	-1
339	1
340	1
341	0
342	0
343	1
344	1
345	1
346	0
347	1
348	1
349	0
350	1
351	-1
352	1
353	0
354	0
355	0
356	0
357	1
358	-1
359	0
360	1
361	0
362	-1
363	1
364	-1
365	0
366	-1
367	1
368	1
369	-1
370	-1
371	0
372	0
373	0
374	1
375	0
376	-1
377	1
378	-1
379	1
380	0
381	0
382	0
383	1
384	0
385	-1
386	0
387	1
388	-1
389	0
390	-1
391	-1
392	-1
393	1
394	1
395	0
396	-1
397	0
398	-1
399	-1
400	-1
401	-1
402	0
403	-1
404	0
405	0
406	-1
407	-1
408	-1
409	1
410	-1
411	1
412	-1
413	-1
414	0
415	0
416	1
417	0
418	0
419	-1
420	0
421	-1
422	1
423	0
424	0
425	0
426	-1
427	0
428	1
429	-1
430	-1
431	-1
432	0
433	0
434	-1
435	1
436	1
437	0
438	1
439	1
440	-1
441	-1
442	1
443	-1
444	1
445	1
446	1
447	0
448	0
449	-1
450	1
451	0
452	1
453	0
454	0
455	1
456	-1
457	0
458	0
459	1
460	1
461	1
462	1
463	0
464	-1
465	1
466	-1
467	1
468	-1
469	1
470	1
471	0
472	-1
473	-1
474	1
475	1
476	1
477	1
478	-1
479	1
480	-1
481	0
482	1
483	-1
484	-1
485	-1
486	1
487	0
488	0
489	1
490	-1
491	-1
492	-1
493	1
494	0
495	1
496	-1
497	1
498	1
499	1
500	-1
501	-1
502	1
503	1
504	-1
505	1
506	1
507	0
508	1
509	0
510	1
511	0
512	0
513	0
514	-1
515	-1
516	0
517	0
518	-1
519	0
520	0
521	-1
522	1
523	1
524	1
525	0
526	-1
527	-1
528	0
529	1
530	-1
531	1
532	1
533	-1
534	-1
535	-1
536	-1
537	1
538	0
539	-1
540	0
541	1
542	0
543	-1
544	1
545	1
546	-1
547	-1
548	-1
549	1
550	-1
551	-1
552	1
553	-1
554	-1
555	-1
556	0
557	-1
558	0
559	1
560	1
561	-1
562	-1
563	1
564	-1
565	-1
566	0
567	-1
568	0
569	-1
570	-1
571	1
572	0
573	0
574	1
575	1
576	-1
577	0
578	1
579	-1
580	-1
581	1
582	1
583	1
584	0
585	-1
586	-1
587	-1
588	-1
589	0
590	1
591	1
592	0
593	0
594	0
595	0
596	1
597	1
598	1
599	0
600	-1
601	0
602	-1
603	-1
604	1
605	1
606	1
607	-1
608	1
609	-1
610	0
611	0
612	-1
613	1
614	0
615	0
616	-1
617	-1
618	0
619	-1
620	0
621	-1
622	-1
623	1
624	1
625	1
626	1
627	0
628	-1
629	1
630	0
631	-1
632	0
633	1
634	1
635	1
636	0
637	1
638	0
639	0
640	0
641	1
642	0
643	-1
644	0
645	-1
646	-1
647	1
648	1
649	1
650	0
651	-1
652	1
653	0
654	-1
655	-1
656	-1
657	1
658	-1
659	0
660	-1
661	0
662	0
663	-1
664	1
665	1
666	1
667	-1
668	-1
669	0
670	0
671	0
672	0
673	1
674	-1
675	-1
676	-1
677	0
678	-1
679	0
680	0
681	0
682	-1
683	1
684	1
685	1
686	0
687	1
688	1
689	0
690	-1
691	-1
692	1
693	1
694	0
695	1
696	1
697	-1
698	0
699	0
700	-1
701	0
702	0
703	1
704	0
705	0
706	-1
707	0
708	1
709	-1
710	1
711	1
712	0
713	-1
714	-1
715	-1
716	-1
717	0
718	1
719	1
720	-1
721	-1
722	0
723	0
724	1
725	0
726	1
727	1
728	1
729	1
730	1
731	1
732	-1
733	1
734	1
735	0
736	1
737	-1
738	0
739	-1
740	0
741	0
742	1
743	1
744	-1
745	0
746	1
747	-1
748	-1
749	-1
750	0
751	0
752	-1
753	0
754	1
755	-1
756	-1
757	1
758	0
759	-1
760	0
761	1
762	1
763	0
764	0
765	-1
766	-1
767	0
768	-1
769	0
770	0
771	-1
772	0
773	-1
774	-1
775	-1
776	0
777	1
778	0
779	-1
780	1
781	0
782	-1
783	1
784	1
785	-1
786	0
787	0
788	0
789	1
790	0
791	1
792	-1
793	0
794	1
795	-1
796	-1
797	-1
798	-1
799	-1
800	-1
801	-1
802	0
803	-1
804	-1
805	0
806	1
807	-1
808	-1
809	1
810	-1
811	-1
812	1
813	0
814	1
815	1
816	-1
817	0
818	-1
819	-1
820	1
821	1
822	-1
823	0
824	1
825	-1
826	-1
827	1
828	1
829	1
830	-1
831	0
832	0
833	1
834	-1
835	0
836	-1
837	0
838	-1
839	1
840	-1
841	0
842	1
843	1
844	0
845	0
846	1
847	1
848	1
849	1
850	0
851	1
852	0
853	0
854	1
855	0
856	-1
857	1
858	-1
859	1
860	1
861	-1
862	1
863	-1
864	1
865	0
866	1
867	0
868	-1
869	1
870	1
871	-1
872	-1
873	0
874	-1
875	-1
876	0
877	1
878	0
879	-1
880	1
881	-1
882	1
883	0
884	-1
885	1
886	1
887	1
888	-1
889	1
890	1
891	1
892	0
893	1
894	-1
895	-1
896	-1
897	1
898	0
899	0
900	-1
901	0
902	1
903	0
904	0
905	1
906	1
907	0
908	-1
909	0
910	1
911	0
912	0
913	0
914	1
915	0
916	-1
917	1
918	-1
919	0
920	0
921	-1
922	-1
923	-1
924	-1
925	-1
926	0
927	1
928	0
929	-1
930	-1
931	-1
932	-1
933	-1
934	-1
935	-1
936	-1
937	1
938	0
939	1
940	0
941	-1
942	1
943	-1
944	-1
945	0
946	-1
947	0
948	-1
949	0
950	1
951	-1
952	1
953	-1
954	-1
955	0
956	-1
957	-1
958	-1
959	-1
960	0
961	0
962	0
963	0
964	0
965	1
966	1
967	0
968	1
969	0
970	-1
971	1
972	-1
973	1
974	0
975	1
976	1
977	1
978	0
979	-1
980	1
981	-1
982	1
983	0
984	0
985	0
986	0
987	1
988	1
