feature	ham_probability	spam_probability
num_digits	0.1293636499955475	0.09712013113266652
num_dollar_signs	0.0032675868029645337	0.00513553436021517
num_punctuation	0.05389491142001848	0.0675860265577855
num_uppercase	1.7703780695478863e-07	2.2503546558937688e-07
num_urls	1.7703780695478863e-07	2.2503546558937688e-07
spam_word_act	5.29343042794818e-05	0.00025699050170306843
spam_word_best	0.00026219299210004194	0.0006514776728812461
spam_word_click	9.967228531554599e-05	0.0005695647634067129
spam_word_congratulations	2.903420034058533e-05	8.281305133689069e-05
spam_word_free	0.0001897845290555334	0.0005414353302080408
spam_word_guarantee	4.4082413931742367e-05	0.0002518146859945127
spam_word_limited	7.807367286706177e-05	0.00020860787660135238
spam_word_no	0.0005013710692959614	0.0011699593855991704
spam_word_now	0.0003278740184802685	0.0008713373227620673
spam_word_offer	0.00014109913214296652	0.0004545716404905413
spam_word_risk	0.00028414568016243573	0.00017777801781560773
spam_word_urgent	2.2129725869348577e-05	7.853737749069254e-05
spam_word_winner	7.4355878921011215e-06	4.365688032433912e-05
word_0	0.0007711766870950592	0.0014332508803387414
word_00	0.0011813732858093045	0.001328609388839681
word_000	0.0008143739119920276	0.0011976387478666638
word_0000	5.311134208643658e-06	0.00011116752000115218
word_000000	1.0622268417287317e-06	3.4205390769585285e-05
word_00000000	1.0622268417287317e-06	2.2503546558937688e-07
word_0000000000	1.7703780695478863e-07	6.751063967681307e-07
word_0000000000001110	1.7703780695478863e-07	4.5007093117875375e-07
word_000000000002858	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000003619	7.081512278191545e-07	2.2503546558937688e-07
word_000000000003991	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000003997	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005168	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005409	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005411	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005412	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005413	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000005820	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000006238	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000006452	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007399	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007494	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007498	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007568	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007588	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007589	7.081512278191545e-07	2.2503546558937688e-07
word_000000000007590	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007591	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007592	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007593	5.311134208643658e-07	2.2503546558937688e-07
word_000000000007666	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007874	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000007876	8.85189034773943e-07	2.2503546558937688e-07
word_000000000008254	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000008348	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000008544	5.311134208643658e-07	2.2503546558937688e-07
word_000000000008582	5.311134208643658e-07	2.2503546558937688e-07
word_000000000008593	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000008853	5.311134208643658e-07	2.2503546558937688e-07
word_000000000008858	5.311134208643658e-07	2.2503546558937688e-07
word_000000000009507	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000009596	5.311134208643658e-07	2.2503546558937688e-07
word_000000000009641	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000009688	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000009797	7.081512278191545e-07	2.2503546558937688e-07
word_000000000009842	8.85189034773943e-07	2.2503546558937688e-07
word_000000000010207	5.311134208643658e-07	2.2503546558937688e-07
word_000000000010210	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000010211	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000010212	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000010219	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000010552	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000011185	7.081512278191545e-07	2.2503546558937688e-07
word_000000000012677	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012734	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012735	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012736	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012738	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012741	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000012987	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000013085	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000015384	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000015793	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000023619	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000024099	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000025307	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000025312	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000031063	8.85189034773943e-07	2.2503546558937688e-07
word_000000000031067	8.85189034773943e-07	2.2503546558937688e-07
word_000000000038953	5.311134208643658e-07	2.2503546558937688e-07
word_000000000042084	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000048227	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000049773	5.311134208643658e-07	2.2503546558937688e-07
word_000000000052681	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000053089	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000053239	8.85189034773943e-07	2.2503546558937688e-07
word_000000000053327	8.85189034773943e-07	2.2503546558937688e-07
word_000000000053328	5.311134208643658e-07	2.2503546558937688e-07
word_000000000053352	3.5407561390957725e-07	2.2503546558937688e-07
word_000000000054493	5.311134208643658e-07	2.2503546558937688e-07
word_000000000055952	5.311134208643658e-07	2.2503546558937688e-07
word_000000000058321	5.311134208643658e-07	2.2503546558937688e-07
word_000000000079989	5.311134208643658e-07	2.2503546558937688e-07
word_000000001606	3.5407561390957725e-07	2.2503546558937688e-07
word_00000004150000000192	1.7703780695478863e-07	6.751063967681307e-07
word_000010220	3.5407561390957725e-07	2.2503546558937688e-07
word_0000102317	3.5407561390957725e-07	2.2503546558937688e-07
word_0000102374	3.5407561390957725e-07	2.2503546558937688e-07
word_0000102789	8.85189034773943e-07	2.2503546558937688e-07
word_0000103595	3.5407561390957725e-07	2.2503546558937688e-07
word_0000104281	8.85189034773943e-07	2.2503546558937688e-07
word_0000104282	8.85189034773943e-07	2.2503546558937688e-07
word_0000104486	3.5407561390957725e-07	2.2503546558937688e-07
word_0000104631	3.5407561390957725e-07	2.2503546558937688e-07
word_0000104730	5.311134208643658e-07	2.2503546558937688e-07
word_0000104776	3.5407561390957725e-07	2.2503546558937688e-07
word_0000104778	3.5407561390957725e-07	2.2503546558937688e-07
word_0000107043	5.311134208643658e-07	2.2503546558937688e-07
word_0000108729	1.0622268417287317e-06	2.2503546558937688e-07
word_00005	1.7703780695478863e-07	4.5007093117875375e-07
word_000066	1.7703780695478863e-07	6.751063967681307e-07
word_000080	1.7703780695478863e-07	1.1026737813879468e-05
word_000089	1.7703780695478863e-07	4.5007093117875375e-07
word_000099	1.0622268417287317e-06	2.4753901214831456e-06
word_0001	8.85189034773943e-07	3.825602915019407e-06
word_000100	1.7703780695478863e-07	1.1251773279468844e-06
word_000166	5.311134208643658e-07	2.2503546558937688e-07
word_00018	1.7703780695478863e-07	6.751063967681307e-07
word_0002	3.5407561390957725e-07	1.5752482591256383e-06
word_000202	3.5407561390957725e-07	2.2503546558937688e-07
word_00020608	1.7703780695478863e-07	6.751063967681307e-07
word_0003	1.7703780695478863e-07	1.1251773279468844e-06
word_00036004	1.7703780695478863e-07	4.5007093117875375e-07
word_0004	2.301491490412252e-06	1.1251773279468844e-06
word_0005	1.7703780695478863e-07	2.025319190304392e-06
word_0006	1.7703780695478863e-07	1.800283724715015e-06
word_0006509	3.5407561390957725e-07	2.2503546558937688e-07
word_0006510	3.5407561390957725e-07	2.2503546558937688e-07
word_0007	1.7703780695478863e-07	1.1251773279468844e-06
word_000749580	1.7703780695478863e-07	4.5007093117875375e-07
word_000750013	1.7703780695478863e-07	1.1251773279468844e-06
word_0007571982	1.7703780695478863e-07	1.3502127935362614e-06
word_00076	1.7703780695478863e-07	6.751063967681307e-07
word_0008	1.7703780695478863e-07	6.751063967681307e-07
word_0009249480	1.7703780695478863e-07	6.751063967681307e-07
word_0009249481	1.7703780695478863e-07	6.751063967681307e-07
word_0009249504	1.7703780695478863e-07	6.751063967681307e-07
word_0009249505	1.7703780695478863e-07	6.751063967681307e-07
word_0009249506	1.7703780695478863e-07	6.751063967681307e-07
word_00098	1.7703780695478863e-07	6.751063967681307e-07
word_001	1.4517100170292666e-05	1.6427588988024514e-05
word_0010	5.311134208643658e-07	2.2503546558937688e-07
word_001001	1.7703780695478863e-07	6.751063967681307e-07
word_00101	1.7703780695478863e-07	6.751063967681307e-07
word_0011	8.674852540784642e-06	2.2503546558937688e-07
word_001134	1.7703780695478863e-07	4.5007093117875375e-07
word_0012	5.311134208643658e-07	4.5007093117875375e-07
word_00128	1.7703780695478863e-07	4.5007093117875375e-07
word_0013	1.7703780695478863e-07	4.5007093117875375e-07
word_0014	1.7703780695478863e-07	6.751063967681307e-07
